Date,Collectors,Habitat,Zone,Elevation,Brown_algae,Green_ algae,Red_algae,Nerita,Cella0,Austrocochlea,Bembicium,Morula,Patiriella,Pyura,Actinia
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Emergent,Low,0.05,0,0,0,0,47,1,0,0,0,0,0
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Emergent,Mid,0.45,5,0,0,7,24,1,0,6,0,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Emergent,Mid,0.6,0,0.05,0,9,11,4,0,0,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Rockpool,Mid,0.5,0.5,0,0,0,25,5,0,0,0,0,0
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Rockpool,High,1,0,0,0,0,5,0,0,0,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Emergent,High,1,0.5,0,0,9,4,12,0,1,0,0,0
2023-01-03T00:00:00Z,"Ruin, Taryn, Eden",Emergent,Mid,0.6,0.3,0,0,0,50,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Mid,0.4,0.27,0,0,1,37,19,0,3,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Low,0.3,0,0,0,0,9,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,Mid,0.6,0,0,0,69,19,18,0,0,0,0,2
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,High,0.7,0,0,0,2,0,2,0,0,0,0,0
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Emergent,High,0.8,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Mid,0.6,0,0.015,0,23,0,0,5,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Mid,0.48,0.1,0,0,8,12,0,29,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Emergent,Low,0.35,0,0.2,0,25,24,0,14,1,0,0,0
1899-12-31T00:00:00Z,"Bonita, Sally, Maddie",Emergent,Low,0.3,0.05,0,0,15,8,8,0,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.4,0,0,0,0,40,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.55,0,0,0,27,1,0,1,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,Mid,0.55,0,0,0,15,7,0,8,0,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Emergent,High,0.8,0,0,0,20,0,0,29,0,0,0,0
2023-03-01T00:00:00Z,"Ciara, Aleena, Uma, Haley",Emergent,Low,0.1,0,0,0,1,41,1,0,0,8,0,0
2023-03-01T00:00:00Z,"Ciara, Aleena, Uma, Haley",Emergent,Low,0.2,0.46,0.06,0,0,15,3,1,3,0,0,0
2023-03-01T00:00:00Z,"Ciara, Aleena, Uma, Haley",Emergent,Mid,0.6,0,0,0,0,5,1,0,0,0,0,0
2023-03-01T00:00:00Z,Daniel D,Emergent,Mid,0.6,0,0.015,0,23,0,0,5,0,0,0,0
2023-03-01T00:00:00Z,Daniel D,Emergent,Low,0.35,0,0.02,0,25,24,0,14,1,0,0,0
2023-03-01T00:00:00Z,Daniel D,Emergent,Mid,0.48,0.085,0,0,8,12,0,29,0,0,0,0
2023-03-01T00:00:00Z,"Dylan Sullivan, Sarah Purdie, Others",Emergent,Mid,0.6,0.01,0,0,2,36,5,0,0,0,0,0
2023-03-01T00:00:00Z,"Edwin, Zheyi WANG, Zilin Zhnag, Kaixian Fan, Chenhao He",Emergent,High,0.75,0.2,0.08,0,22,2,27,0,0,0,0,0
2023-03-01T00:00:00Z,"Edwin, Zheyi WANG, Zilin Zhnag, Kaixian Fan, Chenhao He",Emergent,High,0.75,0,0,0,0,0,0,1,0,0,0,0
2023-03-01T00:00:00Z,sasori kyle,Emergent,High,1,0,0,0,0,0,4,0,0,0,0,0
2023-03-01T00:00:00Z,sasori kyle,Emergent,High,1.1,0.01,0,0,1,0,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Irisa, Mystica, Sam, HeeJun",Emergent,Mid,0.4,0,0,0,18,18,4,1,0,0,0,0
2023-03-01T00:00:00Z,"Irisa, Mystica, Sam, HeeJun",Emergent,Mid,0.6,0.3,0,0,6,10,10,0,0,0,0,0
2023-03-01T00:00:00Z,"Irisa, Mystica, Sam, HeeJun",Emergent,High,1.2,0,0,0,2,0,12,0,0,0,0,0
2023-03-01T00:00:00Z,"Irisa, Mystica, Sam, HeeJun",Emergent,High,0.7,0,0,0,9,2,1,0,1,0,0,12
NA,"Irisa, Mystica, Sam, HeeJun",Emergent,High,1.2,0,0,0.25,5,3,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Emergent,Low,0.25,0,0,0,0,14,6,0,0,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Emergent,Low,0.32,0,0,0,0,7,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Emergent,High,0.75,0,0,0,6,0,4,0,0,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Emergent,High,0.83,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Emergent,High,1.2,0.8,0.1,0,1,2,4,3,4,5,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Emergent,Mid,0.6,3,0,0,2,6,7,0,0,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Emergent,High,0.8,5,0,0,41,1,24,0,1,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Emergent,High,1.1,0,0,0,0,6,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Emergent,Mid,0.5,2,0,0,3,23,11,0,0,0,0,1
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,Low,0.1,0,0,0.23,0,5,0,0,0,0,0,0
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,Low,0.25,0.19,0,0.24,0,0.23,0,0,3,0,0,0
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,Mid,0.55,0,0,0,0.12,0,0.2,0,0,0,0,0
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,Mid,0.6,0.02,0,0,0.31,0.13,0.21,0,0,0,0,0
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,High,0.8,0.38,0,0,0.23,0.09,0.2,0,0,2,0,0
2023-01-03T00:00:00Z,"Sneha Kumar, Jacquelyn Nguyen, Charlotte Billinghurst, Will Tapia-Sealey",Emergent,High,0.85,0,0,0,6,2,3,0,0,0,0,0
2023-03-01T00:00:00Z,"Feng, Tautong, Ningyili",Emergent,High,1.2,0.8,0.1,0,1,2,4,3,4,5,0,0
2023-03-01T00:00:00Z,Reem Hamed,Emergent,Mid,0.5,0.01,0,0,2,38,4,0,0,0,0,0
2023-03-01T00:00:00Z,Reem Hamed,Emergent,Mid,0.5,0.03,0,0,1,21,5,0,2,0,0,1
2023-03-01T00:00:00Z,Reem Hamed,Emergent,High,0.9,0.39,0,0,15,6,16,0,1,0,0,0
2023-03-01T00:00:00Z,Reem Hamed,Emergent,High,0.9,0.14,0,0,34,11,11,0,1,0,0,0
2023-03-01T00:00:00Z,Reem Hamed,Emergent,High,1.2,0,0,0,0,0,1,0,0,0,0,0
2023-03-01T00:00:00Z,Reem Hamed,Emergent,High,1.2,0,0,0,8,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,Linda,Emergent,Mid,0.55,0,0,0,0,6,3,1,0,1,0,0
2023-03-01T00:00:00Z,Lucas,Emergent,Mid,0.6,0,0,0,6,4,6,0,0,0,0,0
2023-03-01T00:00:00Z,Lucas,Emergent,Mid,0.4,0.01,0,0,2,36,2,0,1,0,0,0
2023-03-01T00:00:00Z,Lucas,Emergent,High,0.7,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Natalie Allen, Laura Stewart, Lucy Dowell",Emergent,Mid,0.4,0.02,0,0,6,0,31,8,0,1,0,0
2023-03-01T00:00:00Z,"Natalie Allen, Laura Stewart, Lucy Dowell",Emergent,Mid,0.6,0.42,0,0,26,0,1,20,1,0,0.16,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Emergent,Mid,0.5,0,0,0,2,45,12,0,0,0,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Emergent,High,1.2,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Emergent,Low,0.3,0.25,0,0,0,21,0,0,1,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Emergent,Mid,0.45,0.12,0,0,1,6,6,0,0,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Emergent,High,1.2,0,0,0,7,0,2,0,0,0,0,0
2023-03-01T00:00:00Z,"nicole, emmerson, hannah x2",Emergent,Mid,0.6,0,0.4,0,4,0,25,0,0,0,0,0
2023-03-01T00:00:00Z,"Anita, Sooyoung, Nur",Emergent,Low,0.3,0.02,0.15,0,2,13,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Anita, Sooyoung, Nur",Emergent,Mid,0.5,0.08,0,0,6,10,0,5,0,0,0,0
2023-03-01T00:00:00Z,"Anita, Sooyoung, Nur",Emergent,Mid,0.5,0.05,0,0,34,8,0,6,2,0,0,0
2023-03-01T00:00:00Z,"Anita, Sooyoung, Nur",Emergent,High,0.7,0,0.003,0,0,2,0,8,0,0,0,0
2023-03-01T00:00:00Z,"Lyba, Oscar, Kiara",Emergent,Low,0.2,0,0,0,1,17,3,3,0,0,0,0
2023-03-01T00:00:00Z,"Lyba, Oscar, Kiara",Emergent,Low,0.3,0,0,0,12,17,6,0,1,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Emergent,Low,0.3,0,0,0,0,7,2,0,0,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Emergent,High,0.7,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Emergent,Mid,0.6,0,0,0,1,2,6,0,0,0,0,0
2023-03-01T00:00:00Z,"kochi, olivia, rebecca, marta",Emergent,High,0.8,15,0,0,32,0,8,0,0,0,0,0
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Emergent,Mid,0.55,0.04,0,0,13,10,14,14,0,0,0,1
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Emergent,Mid,0.45,0.01,0,0,36,31,11,0,0,0,0,0
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Emergent,Low,0.25,0,0.01,0,12,45,12,0,1,0,0,0
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Emergent,High,0.67,0,0,0.15,4,1,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Sasori, Kyle",Emergent,Mid,0.6,0,0.05,0,38,9,0,1,0,0,0,6
2023-03-01T00:00:00Z,"Sasori, Kyle",Emergent,Mid,0.6,0,0,0,49,13,8,0,1,0,0,0
2023-03-01T00:00:00Z,"Sasori, Kyle",Emergent,Mid,0.4,0.1,0,0,2,19,9,0,0,0,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Emergent,Low,0.05,0,0,0,9,50,17,0,1,0,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Emergent,High,0.65,0,0,0,33,13,9,0,0,0,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Emergent,High,0.8,0.8,0,0,29,5,32,0,5,0,0,5
2023-03-01T00:00:00Z,"James, Christian, Madelin",Emergent,Low,0.24,0.3,0,0.1,18,19,16,0,1,0,0,0
2023-03-01T00:00:00Z,"James, Christian, Madelin",Emergent,Low,0.2,0.1,0,0,6,18,2,2,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,Mid,0.5,0,0,0.05,13,9,13,3,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,High,0.7,0,0,0.03,4,0,3,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,High,1.1,0.02,0,0.01,0,1,2,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,Mid,0.5,0,0,0.05,13,9,13,3,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,High,0.7,0,0,0.03,4,0,3,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Emergent,High,1.1,0.02,0,0.01,0,1,2,0,0,0,0,0
2023-03-01T00:00:00Z,"karina, Angelina, Arielle, Isla, Thomas",Emergent,Low,0.25,0,0.01,0,0,7,0,0,0,0,0,0
2023-03-01T00:00:00Z,"karina, Angelina, Arielle, Isla, Thomas",Emergent,High,0.65,0,0,0,31,8,8,0,3,0,0,8
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Emergent,Mid,0.49,0.3,0,0,0,6,10,0,0,2,0,0
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Emergent,Low,0.3,0.2,0.3,0.9,0,10,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Emergent,High,0.7,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Dan Dlemaine, Katy Robinson, Beth Davies",Rockpool,Mid,0.6,0.28,0,0,22,11,2,25,1,0,0,4
2023-03-01T00:00:00Z,"karina, Angelina, Arielle, Isla, Thomas",Rockpool,Low,0.1,5,0.55,0.25,0,3,8,5,3,0,0,0
2023-03-01T00:00:00Z,"karina, Angelina, Arielle, Isla, Thomas",Rockpool,Mid,0.6,0.3,0,0,35,22,27,0,2,0,0,1
2023-03-01T00:00:00Z,"Ainhoa Jimenez, Azlin Auckburally, Benjamin Clow, Raul Hernandez",Rockpool,High,0.65,0.6,0.3,0,34,2,32,0,0,0,0,0
1899-12-31T00:00:00Z,"Bonita, Sally, Maddie",Rockpool,Mid,0.6,0.02,0.005,0,115,45,0,0,0,0,0,0
1899-12-31T00:00:00Z,"Bonita, Sally, Maddie",Rockpool,Mid,0.4,0.15,0,0,60,5,21,0,2,0,0,1
1899-12-31T00:00:00Z,"Bonita, Sally, Maddie",Rockpool,Low,0.2,0.3,0.01,0,0,26,6,0,3,0,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Rockpool,Low,0.25,0.05,0.1,0,0,2,10,0,2,1,0,0
2023-03-01T00:00:00Z,"Ines, Xintong, Ethan",Rockpool,Mid,0.6,0,0,0,31,12,1,12,2,2,0,1
2023-03-01T00:00:00Z,"Ciara, Aleena, Uma, Haley",Rockpool,High,0.7,0,0,0,47,12,2,0,0,0,0,0
2023-03-01T00:00:00Z,Daniel D,Rockpool,Mid,0.6,0.28,0,0,22,11,2,25,1,0,0,4
2023-03-01T00:00:00Z,"Dylan Sullivan, Sarah Purdie, Others",Rockpool,Mid,0.55,0.05,0,0,0,10,25,1,1,0,0,3
2023-03-01T00:00:00Z,"Dylan Sullivan, Sarah Purdie, Others",Rockpool,High,0.85,0.06,0,0,45,19,6,12,1,0,0,0
2023-03-01T00:00:00Z,sasori kyle,Rockpool,High,1.1,0,0,0,0,0,4,0,0,0,0,0
2023-03-01T00:00:00Z,sasori kyle,Rockpool,High,1.2,0,0,0,18,0,8,0,0,0,0,0
2023-03-01T00:00:00Z,sasori kyle,Rockpool,High,1.2,0,0,0,5,1,3,0,0,0,0,0
2023-03-01T00:00:00Z,"Irisa, Mystica, Sam, HeeJun",Rockpool,Low,0.3,0,0.1,0,0,56,0,7,1,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Rockpool,Low,0.17,0,0.7,0,0,3,0,0,1,0,0,0
2023-03-01T00:00:00Z,"Seyia, Hugo, Emma",Rockpool,High,1.2,0.2,0,0,21,12,16,0,0,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Rockpool,Low,0.3,5,1,0,12,25,2,0,2,0,0,0
2023-03-01T00:00:00Z,"Jackson Armstrong, Reece Beuzeville, Alex Malka, Oliver Macdonald",Rockpool,High,0.9,0,0,0,0,0,0,0,0,0,0,0
2023-03-01T00:00:00Z,Linda,Rockpool,High,0.65,15,5,0,25,2,15,0,0,0,0,0
2023-03-01T00:00:00Z,Linda,Rockpool,Mid,0.6,40,25,0.1,20,9,3,13,0,2,0,0
2023-03-01T00:00:00Z,Linda,Rockpool,Mid,0.57,50,30,0,9,12,6,21,0,0,0,0
2023-03-01T00:00:00Z,Linda,Rockpool,Mid,0.55,70,70,0,0,2,2,3,1,0,0,0
2023-03-01T00:00:00Z,Linda,Rockpool,Mid,0.51,25,15,0,0,0,5,2,1,2,0,0
2023-03-01T00:00:00Z,Lucas,Rockpool,Mid,0.6,0.53,0,0,26,9,27,0,1,0,0,7
2023-03-01T00:00:00Z,Lucas,Rockpool,Low,0.25,0.7,0.15,0,1,0,4,0,1,0,0,0
2023-03-01T00:00:00Z,Lucas,Rockpool,High,0.7,0,0.01,0,0,2,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Natalie Allen, Laura Stewart, Lucy Dowell",Rockpool,Low,0.3,0.12,0,0,0,45,26,1,0,4,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Rockpool,Low,0.25,0.05,0,0,11,35,5,0,1,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Rockpool,Mid,0.5,0.72,0,0,0,27,1,0,1,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Rockpool,Mid,0.48,0.62,0,0,3,3,0,5,0,0,0,0
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Rockpool,High,0.83,0.55,0,0,27,19,31,0,2,0,0,3
2023-03-01T00:00:00Z,"Andrea, Neave, Nadia",Rockpool,High,1,0.23,0,0,14,0,12,0,0,0,0,0
2023-03-01T00:00:00Z,"Anita, Sooyoung, Nur",Rockpool,Low,0.25,0.02,0,0.06,0,42,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Lyba, Oscar, Kiara",Rockpool,High,0.75,0.7,0,0,20,0,21,0,1,0,0,2
2023-03-01T00:00:00Z,"Lyba, Oscar, Kiara",Rockpool,Mid,0.53,0,0,0.03,25,27,2,0,1,1,0,0
2023-03-01T00:00:00Z,"Lyba, Oscar, Kiara",Rockpool,High,0.8,0.4,0,0,37,1,35,0,1,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Rockpool,Mid,0.6,0,0.02,0,7,1,18,0,0,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Rockpool,Mid,0.4,0,0.25,0,22,3,26,1,0,0,0,0
2023-03-01T00:00:00Z,Qinzi and Fazlin,Rockpool,Low,0.2,0,0.6,0,0,20,4,0,1,0,0,0
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Rockpool,Mid,0.6,0.95,0.5,0,15,3,60,0,2,0,0,1
2023-03-01T00:00:00Z,"Antoine, Alex, Sam, Chateau",Rockpool,High,0.67,0,0,0.35,19,1,23,0,0,1,0,0
2023-03-01T00:00:00Z,"Sasori, Kyle",Rockpool,Mid,0.5,0.6,0,0,7,11,25,0,1,0,0,0
2023-03-01T00:00:00Z,"Sasori, Kyle",Rockpool,Mid,0.4,0.2,0,0,1,33,37,0,12,0,0,0
2023-03-01T00:00:00Z,"Sasori, Kyle",Rockpool,Low,0.3,0.15,0,0,0,16,6,0,2,1,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Rockpool,Low,0.3,0,0,0,0,47,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Rockpool,Low,0.05,0,0,0,0,27,6,0,0,0,0,0
2023-03-01T00:00:00Z,"Shay Hirani, Sinead Edwards",Rockpool,Mid,0.5,0,0,0,15,4,26,0,1,0,0,0
2023-03-01T00:00:00Z,"James, Christian, Madelin",Rockpool,Mid,0.4,0.8,0,0.2,7,6,19,1,1,0,0,0
2023-03-01T00:00:00Z,"James, Christian, Madelin",Rockpool,Low,0.05,0.02,0.03,0,0,26,2,0,0,0,0,0
2023-03-01T00:00:00Z,"James, Christian, Madelin",Rockpool,Low,0.02,0,0.01,0.02,0,22,2,0,0,0,0,0
2023-03-01T00:00:00Z,"James, Christian, Madelin",Rockpool,Low,0.1,0.4,0.5,0,0,1,0,2,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,Low,0.3,0.01,0,0.1,0,37,2,0,0,1,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,Low,0.3,0.2,0.4,0,0,5,7,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,High,1.15,0,0,0.005,14,7,0,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,Low,0.3,0.01,0,0.1,0,37,2,0,0,1,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,Low,0.3,0.2,0.4,0,0,5,7,0,0,0,0,0
1899-12-31T00:00:00Z,"Penny, Nell, Tali, Rupert, Venus",Rockpool,High,1.15,0,0,0.005,14,7,0,0,0,0,0,0
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Rockpool,Mid,0.48,0.3,0,0,5,15,25,0,0,0,0,0
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Rockpool,Low,0.25,0,0.1,0,2,9,1,0,0,0,0,0
2023-03-01T00:00:00Z,"Ebony Baggs, Ebony Fisher, Shaun, Charlotte Evans",Rockpool,Mid,0.6,0.5,0,0,27,5,15,0,0,0,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Rockpool,Low,0.3,0,0.2,0,19,28,5,1,2,0,0,0
2023-03-01T00:00:00Z,"Maya, Chloe, Jess, Michael",Rockpool,Mid,0.6,0,0.5,0,20,14,26,0,0,0,0,6
2023-03-01T00:00:00Z,"Edwin, Zheyi WANG, Zilin Zhnag, Kaixian Fan, Chenhao He",Rockpool,Low,0.35,0.45,0,0,10,2.5,1,2,0,0,0,0
2023-03-01T00:00:00Z,"Edwin, Zheyi WANG, Zilin Zhnag, Kaixian Fan, Chenhao He",Rockpool,Mid,0.45,0.5,0,0,8,29,1,4,4,0,0,0
