elevation,species,abundance,sheet,date
Mid,Nerita,0,1,2/22/2024
Mid,Cellana,5,1,2/22/2024
Mid,Austrocochlea,4,1,2/22/2024
Low,Nerita,0,1,2/22/2024
Low,Cellana,26,1,2/22/2024
Low,Austrocochlea,0,1,2/22/2024
High,Nerita,16,1,2/22/2024
High,Cellana,14,1,2/22/2024
High,Austrocochlea,10,1,2/22/2024
High,Nerita,0,1,2/22/2024
High,Cellana,6,1,2/22/2024
High,Austrocochlea,0,1,2/22/2024
Mid,Nerita,0,1,2/22/2024
Mid,Cellana,8,1,2/22/2024
Mid,Austrocochlea,0,1,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,0,2,2/22/2024
Mid,Austrocochlea,3,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
High,Austrocochlea,0,2,2/22/2024
Mid,Cellana,3,2,2/22/2024
Low,Nerita,0,2,2/22/2024
Low,Cellana,0,2,2/22/2024
Low,Austrocochlea,9,2,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,0,2,2/22/2024
High,Austrocochlea,11,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
Mid,Cellana,0,2,2/22/2024
Mid,Austrocochlea,10,2,2/22/2024
Low,Nerita,8,2,2/22/2024
Low,Cellana,4,2,2/22/2024
Low,Austrocochlea,6,2,2/22/2024
High,Nerita,0,2,2/22/2024
High,Cellana,6,2,2/22/2024
High,Austrocochlea,0,2,2/22/2024
Mid,Nerita,0,2,2/22/2024
Mid,Cellana,5,2,2/22/2024
Mid,Austrocochlea,0,2,2/22/2024
Low,Nerita,0,2,2/22/2024
Low,Cellana,3,2,2/22/2024
Low,Austrocochlea,1,2,2/22/2024
High,Nerita,1,2,2/22/2024
Mid,Cellana,8,3,2/22/2024
Mid,Nerita,5,3,2/22/2024
Mid,Cellana,1,3,2/22/2024
Mid,Nerita,2,3,2/22/2024
Low,Cellana,8,3,2/22/2024
Low,Nerita,8,3,2/22/2024
Mid,Austrocochlea,7,3,2/22/2024
Mid,Austrocochlea,1,3,2/22/2024
Low,Austrocochlea,0,3,2/22/2024
Low,Austrocochlea,4,3,2/22/2024
Low,Cellana,4,3,2/22/2024
Low,Nerita,0,3,2/22/2024
Low,Nerita,4,3,2/22/2024
Low,Cellana,5,3,2/22/2024
Mid,Cellana,2,3,2/22/2024
Low,Nerita,2,3,2/22/2024
Low,Austrocochlea,5,3,2/22/2024
Low,Austrocochlea,3,3,2/22/2024
Low,Nerita,0,3,2/22/2024
Low,Nerita,3,3,2/22/2024
Low,Cellana,3,3,2/22/2024
Mid,Austrocochlea,0,3,2/22/2024
Mid,Cellana,2,3,2/22/2024
Mid,Nerita,0,3,2/22/2024
Mid,Nerita,1,3,2/22/2024
Mid,Nerita,5,4,2/22/2024
Mid,Cellana,6,4,2/22/2024
Mid,Cellana,5,4,2/22/2024
Mid,Nerita,5,4,2/22/2024
Mid,Austrocochlea,4,4,2/22/2024
Mid,Cellana,7,4,2/22/2024
Low,Nerita,10,4,2/22/2024
Low,Cellana,3,4,2/22/2024
Low,Austrocochlea,1,4,2/22/2024
Mid,Austrocochlea,1,4,2/22/2024
Mid,Cellana,4,4,2/22/2024
Low,Nerita,6,4,2/22/2024
Low,Cellana,2,4,2/22/2024
High,Austrocochlea,9,4,2/22/2024
High,Nerita,5,4,2/22/2024
High,Cellana,5,4,2/22/2024
High,Nerita,4,4,2/22/2024
High,Cellana,6,4,2/22/2024
High,Nerita,4,4,2/22/2024
High,Cellana,8,4,2/22/2024
High,Austrocochlea,7,4,2/22/2024
High,Cellana,2,4,2/22/2024
Mid,Cellana,13,5,2/22/2024
Mid,Austrocochlea,0,5,2/22/2024
Mid,Nerita,0,5,2/22/2024
Low,Cellana,15,5,2/22/2024
Low,Austrocochlea,2,5,2/22/2024
Low,Nerita,5,5,2/22/2024
Mid,Austrocochlea,3,5,2/22/2024
Mid,Cellana,7,5,2/22/2024
Mid,Nerita,1,5,2/22/2024
Low,Austrocochlea,0,5,2/22/2024
Low,Cellana,2,5,2/22/2024
Low,Nerita,1,5,2/22/2024
High,Cellana,0,5,2/22/2024
High,Austrocochlea,0,5,2/22/2024
High,Nerita,0,5,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
High,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,3,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,5,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,4,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,5,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,3,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,13,6,2/22/2024
Mid,Nerita,2,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Cellana,1,6,2/22/2024
Mid,Nerita,0,6,2/22/2024
Mid,Austrocochlea,1,6,2/22/2024
Mid,Cellana,1,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,2,6,2/22/2024
Mid,Cellana,0,6,2/22/2024
Mid,Nerita,1,6,2/22/2024
Mid,Austrocochlea,6,6,2/22/2024
Mid,Cellana,4,6,2/22/2024
Mid,Nerita,10,6,2/22/2024
Mid,Austrocochlea,0,6,2/22/2024
Mid,Nerita,0,7,2/22/2024
Mid,Austrocochlea,8,7,2/22/2024
Mid,Cellana,2,7,2/22/2024
Mid,Nerita,8,7,2/22/2024
High,Austrocochlea,4,7,2/22/2024
High,Cellana,0,7,2/22/2024
High,Nerita,0,7,2/22/2024
High,Austrocochlea,0,7,2/22/2024
Low,Cellana,5,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,4,7,2/22/2024
Mid,Cellana,0,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,3,7,2/22/2024
Mid,Cellana,0,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
High,Austrocochlea,0,7,2/22/2024
High,Cellana,0,7,2/22/2024
High,Nerita,10,7,2/22/2024
Mid,Austrocochlea,2,7,2/22/2024
High,Cellana,2,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
Low,Austrocochlea,0,7,2/22/2024
Low,Cellana,1,7,2/22/2024
Low,Nerita,0,7,2/22/2024
Low,Austrocochlea,2,7,2/22/2024
Low,Cellana,3,7,2/22/2024
Mid,Nerita,0,7,2/22/2024
Mid,Nerita,15,8,2/22/2024
Mid,Cellana,0,8,2/22/2024
Mid,Austrocochlea,12,8,2/22/2024
Mid,Nerita,1,8,2/22/2024
Mid,Cellana,0,8,2/22/2024
Mid,Austrocochlea,0,8,2/22/2024
High,Nerita,0,8,2/22/2024
High,Cellana,2,8,2/22/2024
High,Austrocochlea,0,8,2/22/2024
High,Nerita,0,8,2/22/2024
High,Cellana,9,8,2/22/2024
High,Austrocochlea,0,8,2/22/2024
Low,Nerita,0,8,2/22/2024
Low,Cellana,1,8,2/22/2024
Low,Austrocochlea,0,8,2/22/2024
Low,Nerita,0,8,2/22/2024
Low,Cellana,0,8,2/22/2024
Low,Austrocochlea,1,8,2/22/2024
Mid,Nerita,0,8,2/22/2024
Mid,Cellana,3,8,2/22/2024
Mid,Austrocochlea,7,8,2/22/2024
High,Cellana,2,9,
High,Cellana,6,9,
High,Cellana,6,9,
High,Cellana,0,9,
High,Cellana,4,9,
High,Cellana,8,9,
Mid,Cellana,16,9,
Low,Cellana,14,9,
Mid,Cellana,4,9,
Low,Cellana,4,9,
Mid,Cellana,4,9,
Mid,Cellana,2,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,0,9,
High,Nerita,1,9,
Mid,Nerita,3,9,
Low,Nerita,0,9,
Mid,Nerita,0,9,
Low,Nerita,0,9,
Mid,Nerita,1,9,
Mid,Nerita,0,9,
High,Austrocochlea,0,9,
High,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Mid,Austrocochlea,4,9,
High,Austrocochlea,3,9,
High,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Low,Austrocochlea,0,9,
Mid,Austrocochlea,0,9,
Low,Austrocochlea,0,9,
High,Austrocochlea,6,9,
Low,Austrocochlea,0,9,
Mid,Cellana,9,10,
Low,Nerita,9,10,
Low,Austrocochlea,8,10,
Mid,Cellana,2,10,
High,Nerita,0,10,
High,Austrocochlea,0,10,
High,Cellana,9,10,
Mid,Nerita,0,10,
Low,Austrocochlea,3,10,
Low,Cellana,1,10,
Low,Nerita,0,10,
Low,Austrocochlea,5,10,
Mid,Cellana,4,10,
Mid,Nerita,8,10,
High,Austrocochlea,9,10,
Low,Cellana,0,10,
Mid,Nerita,14,10,
Low,Austrocochlea,0,10,
Mid,Cellana,13,10,
Mid,Nerita,0,10,
High,Austrocochlea,1,10,
High,Cellana,0,10,
High,Nerita,0,10,
High,Austrocochlea,1,10,
Mid,Austrocochlea,4,11,
Mid,Cellana,1,11,
Mid,Nerita,1,11,
Low,Austrocochlea,0,11,
Low,Cellana,3,11,
Low,Nerita,0,11,
High,Austrocochlea,0,11,
High,Cellana,6,11,
High,Nerita,0,11,
Mid,Austrocochlea,9,11,
Mid,Cellana,4,11,
Mid,Nerita,1,11,
Low,Austrocochlea,0,11,
Low,Cellana,17,11,
Low,Nerita,0,11,
High,Austrocochlea,6,11,
High,Cellana,7,11,
High,Nerita,0,11,
Mid,Austrocochlea,0,11,
Mid,Cellana,2,11,
Mid,Nerita,0,11,
Mid,Cellana,6,12,
Mid,Austrocochlea,0,12,
Mid,Nerita,1,12,
Low,Cellana,0,12,
Low,Austrocochlea,12,12,
Low,Nerita,0,12,
Low,Cellana,0,12,
Mid,Austrocochlea,2,12,
High,Nerita,0,12,
Mid,Cellana,4,12,
High,Austrocochlea,0,12,
High,Nerita,21,12,
High,Cellana,2,12,
Mid,Austrocochlea,0,12,
Mid,Nerita,0,12,
Low,Cellana,10,12,
Low,Austrocochlea,0,12,
Mid,Cellana,10,12,
Mid,Nerita,4,13,
Mid,Cellana,7,13,
High,Austrocochlea,0,13,
High,Nerita,4,13,
High,Cellana,3,13,
Mid,Austrocochlea,2,13,
Mid,Nerita,0,13,
Mid,Cellana,3,13,
Low,Austrocochlea,0,13,
Low,Cellana,11,13,
Mid,Nerita,7,13,
Mid,Austrocochlea,1,13,
Mid,Nerita,0,13,
Mid,Cellana,0,13,
Mid,Cellana,4,13,
Low,Austrocochlea,0,13,
Low,Nerita,0,13,
Low,Cellana,4,13,
Mid,Austrocochlea,0,13,
Mid,Austrocochlea,4,13,
Low,Nerita,0,13,
Mid,Cellana,3,13,
Mid,Cellana,6,13,
Low,Nerita,0,13,
Low,Austrocochlea,0,13,
Low,Nerita,0,13,
Low,Nerita,0,14,
Mid,Cellana,0,14,
Mid,Austrocochlea,0,14,
Low,Nerita,0,14,
Low,Cellana,13,14,
Mid,Austrocochlea,0,14,
Low,Nerita,0,14,
Low,Cellana,28,14,
Low,Austrocochlea,0,14,
Low,Nerita,4,14,
Mid,Cellana,1,14,
High,Austrocochlea,0,14,
High,Nerita,0,14,
High,Cellana,0,14,
High,Austrocochlea,0,14,
Mid,Nerita,6,14,
High,Cellana,0,14,
High,Austrocochlea,0,14,
Mid,Nerita,0,14,
Mid,Cellana,6,14,
Mid,Austrocochlea,0,14,
Mid,Nerita,0,14,
Low,Cellana,6,14,
Mid,Austrocochlea,0,14,
Low,Nerita,0,14,
Low,Cellana,4,14,
High,Austrocochlea,0,14,
Low,Nerita,8,14,
Mid,Austrocochlea,1,15,
Low,Cellana,8,15,
Low,Nerita,5,15,
Low,Austrocochlea,4,15,
Mid,Cellana,0,15,
Low,Nerita,0,15,
Low,Austrocochlea,3,15,
Low,Cellana,9,15,
Mid,Nerita,0,15,
Low,Austrocochlea,1,15,
Mid,Cellana,0,15,
Low,Nerita,0,15,
Low,Austrocochlea,2,15,
Low,Cellana,8,15,
Low,Nerita,0,16,
Mid,Nerita,0,16,
Low,Cellana,1,16,
Low,Austrocochlea,0,16,
Low,Nerita,0,16,
Low,Cellana,9,16,
Low,Austrocochlea,0,16,
Mid,Cellana,8,16,
Mid,Austrocochlea,1,16,
High,Nerita,0,16,
High,Cellana,2,16,
High,Austrocochlea,0,16,
Low,Nerita,5,16,
Low,Cellana,4,16,
Low,Austrocochlea,0,16,
Low,Nerita,6,16,
Low,Cellana,5,16,
Mid,Austrocochlea,3,16,
High,Nerita,0,16,
High,Cellana,1,16,
Mid,Austrocochlea,5,16,
Low,Nerita,0,16,
Low,Cellana,1,16,
Low,Austrocochlea,0,16,
Low,Nerita,0,16,
Mid,Cellana,5,16,
Mid,Austrocochlea,0,16,
High,Nerita,0,16,
High,Cellana,0,17,
High,Austrocochlea,0,17,
High,Nerita,0,17,
Mid,Cellana,0,17,
Mid,Austrocochlea,0,17,
Mid,Nerita,5,17,
Mid,Cellana,5,17,
Low,Austrocochlea,0,17,
Low,Nerita,4,17,
Low,Cellana,15,17,
Low,Austrocochlea,0,17,
High,Nerita,2,18,
High,Austrocochlea,10,18,
Mid,Cellana,4,18,
Mid,Nerita,0,18,
Mid,Austrocochlea,0,18,
Mid,Cellana,12,18,
Mid,Cellana,6,19,
Low,Nerita,0,19,
Mid,Austrocochlea,0,19,
Low,Cellana,6,19,
Low,Nerita,0,19,
Low,Austrocochlea,0,19,
Mid,Cellana,8,19,
High,Nerita,15,19,
High,Austrocochlea,0,19,
Mid,Cellana,4,19,
Mid,Nerita,5,19,
Mid,Austrocochlea,3,19,
Low,Cellana,11,19,
Low,Nerita,0,19,
Low,Austrocochlea,0,19,
Low,Cellana,2,19,
Low,Nerita,0,19,
Low,Austrocochlea,0,19,
High,Cellana,12,19,
High,Nerita,7,19,
High,Austrocochlea,9,19,
Mid,Cellana,12,19,
Mid,Nerita,1,19,
Mid,Austrocochlea,0,19,
Low,Cellana,2,19,
Low,Nerita,0,19,
Low,Austrocochlea,0,19,
Mid,Cellana,1,19,
Low,Cellana,7,20,
Low,Cellana,8,20,
Low,Cellana,0,20,
Low,Nerita,5,20,
Low,Nerita,4,20,
Low,Nerita,0,20,
Low,Austrocochlea,1,20,
Mid,Austrocochlea,0,20,
Mid,Austrocochlea,2,20,
Low,Nerita,1,20,
Low,Austrocochlea,2,20,
Low,Austrocochlea,0,20,
Mid,Nerita,0,20,
Mid,Nerita,2,20,
Low,Cellana,8,20,
Mid,Nerita,7,20,
Mid,Nerita,0,20,
Mid,Nerita,0,20,
Mid,Nerita,4,20,
Low,Cellana,8,20,
Low,Austrocochlea,0,20,
Low,Nerita,2,20,
Low,Cellana,13,20,
Mid,Austrocochlea,2,20,
Mid,Austrocochlea,0,20,
Low,Cellana,10,20,
Low,Cellana,8,20,
Low,Austrocochlea,0,20,
High,Nerita,0,21,
High,Cellana,4,21,
High,Austrocochlea,0,21,
Mid,Nerita,0,21,
Mid,Cellana,10,21,
Mid,Austrocochlea,0,21,
Low,Nerita,0,21,
Low,Cellana,7,21,
Low,Austrocochlea,0,21,
Low,Nerita,0,21,
Low,Cellana,4,21,
Low,Austrocochlea,0,21,
Mid,Nerita,0,21,
Mid,Cellana,14,21,
Mid,Austrocochlea,0,21,
High,Nerita,0,21,
High,Cellana,0,21,
High,Austrocochlea,0,21,
High,Nerita,0,21,
High,Cellana,4,21,
High,Austrocochlea,0,21,
Mid,Nerita,0,21,
Mid,Cellana,7,21,
Mid,Austrocochlea,2,21,
Low,Nerita,1,21,
Low,Cellana,8,21,
Low,Austrocochlea,3,21,
Low,Nerita,0,21,
Low,Cellana,1,21,
Low,Austrocochlea,3,21,
Mid,Nerita,22,21,
Mid,Cellana,0,21,
Mid,Austrocochlea,5,21,
High,Nerita,6,21,
High,Cellana,0,21,
High,Austrocochlea,0,21,
Mid,Cellana,10,22,
Mid,Austrocochlea,0,22,
Mid,Nerita,0,22,
Mid,Cellana,2,22,
Mid,Austrocochlea,4,22,
Mid,Nerita,0,22,
Low,Cellana,2,22,
Low,Austrocochlea,3,22,
Low,Nerita,12,22,
Low,Cellana,0,22,
Low,Austrocochlea,5,22,
Low,Nerita,25,22,
High,Cellana,0,22,
High,Austrocochlea,4,22,
High,Nerita,7,22,
High,Cellana,0,22,
High,Austrocochlea,0,22,
High,Nerita,5,22,
High,Cellana,2,23,
High,Austrocochlea,0,23,
High,Nerita,0,23,
High,Cellana,6,23,
Mid,Austrocochlea,0,23,
Mid,Nerita,0,23,
Mid,Cellana,9,23,
Mid,Austrocochlea,1,23,
Mid,Nerita,0,23,
Mid,Cellana,0,23,
Low,Austrocochlea,0,23,
Low,Nerita,10,23,
Low,Cellana,9,23,
Low,Austrocochlea,0,23,
Mid,Nerita,0,23,
Mid,Cellana,14,23,
Mid,Austrocochlea,1,23,
Low,Nerita,0,23,
Mid,Cellana,4,23,
Mid,Austrocochlea,0,23,
Mid,Nerita,0,23,
Mid,Cellana,5,23,
Mid,Austrocochlea,0,23,
Low,Nerita,2,23,
Mid,Nerita,0,24,
Mid,Cellana,6,24,
Mid,Austrocochlea,1,24,
Mid,Nerita,2,24,
Mid,Cellana,1,24,
Mid,Austrocochlea,1,24,
Mid,Nerita,0,24,
Mid,Cellana,7,24,
Low,Austrocochlea,9,24,
Mid,Nerita,0,24,
Mid,Cellana,6,24,
Mid,Austrocochlea,0,24,
Mid,Nerita,3,24,
Mid,Cellana,2,24,
Mid,Austrocochlea,0,24,
Low,Nerita,0,24,
High,Cellana,0,24,
High,Austrocochlea,0,24,
Mid,Nerita,2,24,
Mid,Cellana,0,24,
Mid,Austrocochlea,0,24,
Mid,Nerita,0,24,
Low,Cellana,7,24,
Low,Austrocochlea,3,24,
Low,Nerita,1,24,
Low,Cellana,6,24,
Mid,Austrocochlea,4,24,
Low,Nerita,0,24,
High,Cellana,3,25,
High,Nerita,17,25,
High,Austrocochlea,0,25,
High,Cellana,5,25,
High,Nerita,4,25,
High,Austrocochlea,0,25,
Mid,Cellana,4,25,
Mid,Nerita,0,25,
Mid,Austrocochlea,0,25,
Mid,Cellana,2,25,
Mid,Nerita,1,25,
Mid,Austrocochlea,10,25,
Mid,Cellana,0,25,
Low,Nerita,4,25,
Low,Austrocochlea,6,25,
Low,Cellana,0,25,
Low,Nerita,3,25,
Low,Austrocochlea,0,25,
Low,Cellana,3,25,
Low,Nerita,5,25,
Low,Austrocochlea,0,25,
Low,Cellana,3,25,
Low,Nerita,0,25,
Low,Austrocochlea,0,25,
Low,Cellana,0,25,
Low,Nerita,0,25,
High,Austrocochlea,0,25,
High,Cellana,1,25,
High,Nerita,0,26,
High,Cellana,0,26,
High,Austrocochlea,1,26,
Mid,Nerita,0,26,
Mid,Cellana,7,26,
Mid,Austrocochlea,2,26,
Low,Nerita,2,26,
Low,Cellana,1,26,
Low,Austrocochlea,1,26,
Low,Nerita,7,26,
Low,Cellana,1,26,
Low,Austrocochlea,6,26,
High,Nerita,0,26,
High,Cellana,0,26,
High,Austrocochlea,0,26,
Mid,Nerita,0,26,
Mid,Cellana,0,26,
Mid,Austrocochlea,0,26,
Low,Nerita,0,26,
Low,Cellana,1,26,
Low,Austrocochlea,0,26,
Low,Nerita,0,26,
Low,Cellana,15,26,
Low,Austrocochlea,1,26,
High,Nerita,0,26,
High,Cellana,0,26,
High,Austrocochlea,0,26,
Mid,Nerita,8,26,
Mid,Cellana,0,26,
Mid,Austrocochlea,0,26,
Low,Nerita,0,26,
Low,Cellana,6,26,
Low,Austrocochlea,0,26,
Low,Nerita,0,26,
Low,Cellana,5,26,
Low,Austrocochlea,0,26,
Low,Austrocochlea,13,27,
Low,Nerita,2,27,
Low,Cellana,16,27,
Low,Nerita,3,27,
Low,Cellana,9,27,
Low,Cellana,2,27,
Low,Nerita,6,27,
Low,Austrocochlea,3,27,
Low,Cellana,8,27,
Low,Austrocochlea,1,27,
Low,Nerita,2,27,
Low,Cellana,14,27,
Low,Cellana,10,27,
Low,Austrocochlea,8,27,
High,Cellana,8,27,
High,Cellana,9,27,
High,Austrocochlea,1,27,
High,Cellana,17,27,
Mid,Nerita,14,27,
Mid,Cellana,1,27,
Mid,Austrocochlea,5,27,
Mid,Cellana,20,27,
Mid,Austrocochlea,2,27,
Mid,Nerita,6,27,
Mid,Nerita,8,27,
Mid,Austrocochlea,1,27,
Low,Cellana,8,27,
Low,Austrocochlea,1,27,
Low,Nerita,2,28,
Mid,Nerita,6,28,
Mid,Austrocochlea,3,28,
Mid,Cellana,3,28,
Mid,Cellana,2,28,
High,Cellana,12,28,
High,Cellana,7,29,
High,Cellana,13,29,
High,Nerita,17,29,
High,Nerita,0,29,
Mid,Austrocochlea,17,29,
Mid,Cellana,1,29,
Mid,Nerita,5,29,
Mid,Nerita,13,29,
Mid,Austrocochlea,5,29,
Mid,Cellana,2,29,
Low,Nerita,0,29,
Low,Austrocochlea,3,29,
Low,Cellana,16,29,
Low,Nerita,2,29,
Mid,Cellana,4,30,
Mid,Austrocochlea,6,30,
Mid,Nerita,1,30,
Low,Cellana,5,30,
Low,Austrocochlea,4,30,
Low,Nerita,13,30,
High,Cellana,5,30,
High,Austrocochlea,1,30,
High,Nerita,3,30,
Mid,Cellana,9,30,
Mid,Austrocochlea,0,30,
Mid,Nerita,6,30,
Low,Cellana,3,30,
Low,Austrocochlea,4,30,
Low,Nerita,5,30,
High,Cellana,16,30,
High,Austrocochlea,4,30,
Mid,Cellana,2,30,
High,Nerita,0,30,
Mid,Austrocochlea,5,30,
Mid,Nerita,0,30,
Mid,Cellana,0,30,
Mid,Nerita,6,30,
Low,Cellana,7,30,
Low,Nerita,12,30,
Low,Austrocochlea,2,30,
High,Cellana,0,30,
High,Nerita,2,30,
High,Austrocochlea,0,30,